feature,importance
location_Quebec City,0.028688703714999167
location_Winnipeg,0.028262088443455805
location_Vancouver,0.028243252070247887
location_Toronto,0.028222035147445413
location_Victoria,0.028082718347546085
location_Ottawa,0.027370335161678503
location_Montreal,0.02664223608528858
merchant_category_restaurant,0.025555524719555682
location_Halifax,0.025399068349029597
merchant_category_jewelry,0.025312371773413722
merchant_category_shopping,0.02525287007249192
merchant_category_healthcare,0.024491790641307232
merchant_category_travel,0.02433406318093114
location_Edmonton,0.024241671688100524
merchant_category_grocery,0.024067946590093477
merchant_category_utilities,0.023773530136621323
location_Calgary,0.023436096251141895
merchant_category_gas,0.022936553398382305
merchant_category_entertainment,0.021632608278405265
merchant_category_electronics,0.019398753170568304
is_new_category,0.018732112831152555
transactions_last_day,0.018076044831254655
transactions_last_hour,0.018076044831254655
time_diff,0.016646058685584185
user_std_amount,0.015819016974789754
user_avg_amount,0.01486480123157673
user_transaction_count,0.014329256861410193
hour_cos,0.01383478219303656
hour_sin,0.013572410903188545
is_business_hours,0.013417706821088954
is_night,0.010301375141984478
is_weekend,0.008421801541535457
day_of_week,0.0073373767471389415
hour,0.006703518458261261
amount_zscore,0.0036876077080709325
amount_deviation,0.002045207623294357
amount,0.0
